replica,experimento,hiperparametro,valor_hiperparametro,orden_valor,tiempo_entrenamiento,accuracy_train,accuracy_test,error_test,gap_accuracy,f1_test,recall_test,auc_test
0,cantidad_arboles,n_estimators,10,0,0.03249187511391938,0.9988910451899086,0.9896574014221073,0.010342598577892659,0.009233643767801225,0.9782608695652174,0.9651474530831099,0.9953711104311009
1,cantidad_arboles,n_estimators,10,0,0.015771250007674098,0.9991682838924314,0.9928894634776988,0.007110536522301203,0.0062788204147326,0.9850746268656716,0.9731903485254692,0.9977415038067878
2,cantidad_arboles,n_estimators,10,0,0.02471216698177159,0.9988910451899086,0.9922430510665805,0.007756948933419494,0.00664799412332806,0.983739837398374,0.9731903485254692,0.998080620778165
3,cantidad_arboles,n_estimators,10,0,0.015842458931729198,0.9988910451899086,0.9909502262443439,0.009049773755656076,0.007940818945564643,0.981029810298103,0.9705093833780161,0.9949943137962375
4,cantidad_arboles,n_estimators,10,0,0.01523337489925325,0.9983365677848628,0.9909502262443439,0.009049773755656076,0.00738634154051887,0.981029810298103,0.9705093833780161,0.997810012285854
5,cantidad_arboles,n_estimators,10,0,0.015483791939914227,0.9991682838924314,0.9915966386554622,0.008403361344537785,0.007571645236969182,0.9824561403508771,0.9758713136729222,0.9951062109787121
6,cantidad_arboles,n_estimators,10,0,0.01338133285753429,0.9994455225949542,0.9896574014221073,0.010342598577892659,0.009788121172846886,0.9782016348773842,0.9624664879356568,0.9951153454425875
7,cantidad_arboles,n_estimators,10,0,0.015282667009159923,0.9988910451899086,0.9903038138332256,0.009696186166774368,0.008587231356682934,0.979757085020243,0.9731903485254692,0.9952135409292491
8,cantidad_arboles,n_estimators,10,0,0.01537983282469213,0.9986138064873856,0.995475113122172,0.004524886877828038,0.003138693365213663,0.9906040268456375,0.9892761394101877,0.9969890523450453
9,cantidad_arboles,n_estimators,10,0,0.015010334085673094,0.9983365677848628,0.9928894634776988,0.007110536522301203,0.005447104307163997,0.9851150202976996,0.9758713136729222,0.997957305515846
10,cantidad_arboles,n_estimators,10,0,0.015116250142455101,0.9988910451899086,0.9903038138332256,0.009696186166774368,0.008587231356682934,0.9796472184531886,0.967828418230563,0.9991881745230669
11,cantidad_arboles,n_estimators,10,0,0.013179750181734562,0.9997227612974772,0.9896574014221073,0.010342598577892659,0.010065359875369828,0.978319783197832,0.967828418230563,0.9963816104973259
12,cantidad_arboles,n_estimators,10,0,0.015798750100657344,0.9991682838924314,0.9915966386554622,0.008403361344537785,0.007571645236969182,0.9823129251700681,0.967828418230563,0.9953676850071478
13,cantidad_arboles,n_estimators,10,0,0.013211249839514494,0.9988910451899086,0.9883645765998708,0.011635423400129241,0.010526468590037807,0.9754098360655737,0.9571045576407506,0.9938684911235847
14,cantidad_arboles,n_estimators,10,0,0.015129458857700229,0.9986138064873856,0.9903038138332256,0.009696186166774368,0.008309992654159992,0.9795918367346939,0.9651474530831099,0.9950559714273971
15,cantidad_arboles,n_estimators,10,0,0.015340042067691684,0.9986138064873856,0.989010989010989,0.01098901098901095,0.009602817476396575,0.9768707482993197,0.9624664879356568,0.9993309005211212
16,cantidad_arboles,n_estimators,10,0,0.013864166103303432,0.9986138064873856,0.989010989010989,0.01098901098901095,0.009602817476396575,0.9767441860465116,0.9571045576407506,0.9975382619855584
